194,Team Leader,Team Leader,0,0,,,0,0,imtiaz.momin,2009-05-12 14:07:06.000
195,Technical Leader,Tech. Leader,0,0,,,0,0,imtiaz.momin,2009-05-13 15:06:26.250
196,Administrator,Admintr,0,0,,,0,0,nc.riyaz.k,2009-05-14 18:30:21.000
197,Chemist,Chemt,0,0,,,0,0,nc.riyaz.k,2009-05-14 22:36:47.000
198,1st Lieutenant,1st Lieutenant,0,0,,,0,0,ali.bhamani,2009-05-16 18:53:10.000
199,Area Convenor,Area Convenor,0,0,"","",0,0,ali.bhamani,2009-05-18 15:23:21.000
200,Research Member,Research Member,0,0,,,0,0,North.Chitral,2009-05-12 14:18:42.000
201,Proprietor,Proprietor,0,0,"","",0,0,amin.bhojani,2009-05-21 16:21:12.000
202,Member ECD,Member ECD,0,0,"","",0,0,super.admin,2009-05-31 20:46:17.000
500,*****,*****,0,0,,,0,1,super.admin,2009-05-31 20:46:17.000
501,Medical Officer,"",0,0,"","",0,0,nc.user1,2012-02-27 20:48:58.000
502,Health Education,"",0,0,"","",0,0,nc.user1,2012-02-28 10:39:20.000
503,C.E.O.,"",0,0,"","",0,0,nc.user1,2012-02-29 21:09:59.000
504,Associate Dean,"",0,0,"","",0,0,nc.user1,2012-02-29 21:11:09.000
505,Librarian,Librarian,0,0,"","",0,0,super.admin,2012-05-28 01:35:24.790
506,Youth Educator,"",0,0,"","",0,0,nc.user1,2012-03-07 06:55:27.000
507,Regional Commissioner,Reg. Commissioner,0,0,"","",0,0,nc.user1,2012-03-16 03:54:33.000
508,Vice Chairman,"",0,0,"","",0,0,nc.user1,2012-03-19 21:56:51.000
509,Member Security,Member Security,1,0,"","",0,0,super.admin,2012-04-21 10:29:41.000
510,Director Sports,Director Sports,0,0,"","",0,0,super.admin,2012-04-25 20:06:32.000
511,Head Teacher,Head Teacher,0,0,"","",0,0,super.admin,2012-05-08 22:04:39.000
512,Asst. Head Teacher,Asst. Head Teacher,0,0,"","",0,0,super.admin,2012-05-08 22:05:42.000
513,Member Access,Member Access,0,0,"","",0,0,super.admin,2012-05-17 19:21:13.000
514,Coordinator Access,Coordinator Access,0,0,"","",0,0,super.admin,2012-05-17 19:22:07.000
515,Access Co-ord. (UK),Access Co-ord. (UK),0,0,"","",0,0,super.admin,2012-05-19 18:08:31.000
516,IWTP,IWTP,0,0,"","",0,0,super.admin,2012-05-23 22:34:34.000
517,WTEP,WTEP,0,0,"","",0,0,super.admin,2012-05-23 22:35:19.000
518,GPISH,GPISH,0,0,"","",0,0,super.admin,2012-05-23 22:35:38.000
519,PTEP,PTEP,0,0,"","",0,0,super.admin,2012-05-23 22:35:48.000
520,Chapter Commissioner,Chapter Commissioner,0,0,"","",0,0,nc.user1,2012-05-30 13:52:48.000
521,Regional Chairman,Regional Chairman,0,0,"","",0,0,nc.user1,2012-05-30 14:06:36.000
522,Asst. Inch./Teacher,Asst. Inch./Teacher,0,0,"","",0,0,nc.user1,2012-05-31 20:20:18.000
523,Trustee,Trustee,1,0,"","",0,0,nc.user1,2012-05-31 22:24:55.000
524,Panel Member,Panel Member,0,0,"","",0,0,super.admin,2012-06-03 00:12:09.000
525,Security Officer,Sec. Officer,0,0,"","",0,0,nc.user1,2014-12-27 11:58:22.000
526,ADC,ADC,0,1,Female,"",0,0,nc.user1,2015-01-09 13:16:37.953
527,GGL,GGL,0,0,"","",0,0,nc.user1,2015-01-11 13:41:05.000
528,GSL,GSL,0,0,"","",0,0,nc.user1,2015-01-11 13:41:20.000
529,Learning Coordinator (LC),Learning Coordinator,0,0,"","",0,0,salman.chagani,2015-01-28 21:40:44.000
530,Exam. Controller,Exam. Controller,0,0,"","",0,0,aziz.nathani,2015-02-06 21:15:54.000
531,Group Secretary,Group Secretary,0,0,"","",0,0,aziz.nathani,2015-02-08 14:43:24.000
532,Co-Chair,Co-Chair,0,0,"","",0,0,aziz.nathani,2015-02-08 15:59:27.000
533,Senior Mate,Senior Mate,0,0,"","",0,0,aziz.nathani,2015-02-17 21:55:23.000
534,Petrol Leader,Petrol Leader,0,0,"","",0,0,aziz.nathani,2015-02-21 14:15:53.000
535,Asst. GGL,Asst. GGL,0,0,"","",0,0,aziz.nathani,2015-02-21 14:16:52.000
536,Youth Coordinator,Youth Coordinator,0,0,"","",0,0,aziz.nathani,2015-02-21 17:57:01.000
537,Convener Fellow-ship Prog.,Con. Fellowship Prog,0,0,"","",0,0,arif.sajwani,2015-04-05 17:58:46.503
538,Members,Members,1,0,"","",0,4,arif.sajwani,2015-05-24 18:32:20.000
539,Trustees,Trustees,1,0,"","",0,0,super.admin,2015-11-11 15:46:23.000
540,Truste,Truste,1,0,"","",0,0,super.admin,2015-11-11 16:01:05.000
